1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
928,0.0,3.0,3.0,308,4.0,620,288,0.0,1957.0,928,3.0,6000,50.0,0.0,0,6,5,928,1957,1957
980,734.0,3.0,3.0,394,5.0,586,496,2.0,1988.0,1714,3.0,10421,80.0,42.0,66,5,7,980,1988,1988
1350,0.0,3.0,1.0,624,2.0,288,520,1.0,1964.0,1350,3.0,9020,82.0,259.0,0,5,6,1248,1964,1964
1668,0.0,3.0,0.0,370,1.0,315,502,0.0,2003.0,1668,2.0,10635,48.0,171.0,262,5,8,1657,2003,2003
616,495.0,3.0,2.0,236,3.0,0,200,2.0,1941.0,1111,3.0,9084,60.0,0.0,0,6,5,616,1941,1950
1133,687.0,4.0,3.0,329,4.0,697,240,2.0,1925.0,1820,3.0,9120,60.0,0.0,100,6,7,1026,1925,1950
1163,511.0,4.0,2.0,0,5.0,1163,396,0.0,1955.0,1674,3.0,21780,66.0,0.0,36,7,6,1163,1918,1950
1158,1218.0,4.0,0.0,0,5.0,1158,853,1.0,2005.0,2376,2.0,14215,101.0,380.0,154,5,8,1158,2005,2006
885,833.0,3.0,3.0,0,5.0,832,427,0.0,1998.0,1718,3.0,10141,74.0,40.0,94,5,7,832,1998,1998
720,0.0,2.0,3.0,0,5.0,624,484,2.0,2005.0,720,3.0,8520,60.0,0.0,0,8,6,624,1928,2003
334,0.0,1.0,3.0,0,5.0,0,0,2.0,1982.5,334,1.0,5000,50.0,0.0,0,3,1,0,1946,1950
760,896.0,3.0,3.0,0,5.0,746,397,0.0,2003.0,1656,2.0,6931,60.0,92.0,128,5,7,746,2003,2004
1103,0.0,2.0,3.0,397,1.0,706,440,2.0,1976.0,1103,2.0,6000,50.0,0.0,120,6,6,1103,1925,1980
920,941.0,3.0,3.0,700,2.0,216,492,1.0,2002.0,1861,2.0,13450,95.0,0.0,91,5,7,916,2002,2002
1419,0.0,2.0,0.0,945,5.0,474,567,1.0,2007.0,1419,2.0,8089,60.0,0.0,0,6,8,1419,2007,2007
1226,592.0,4.0,3.0,224,3.0,816,240,2.0,1951.0,1818,3.0,7758,66.0,600.0,0,4,7,1040,1931,1950
1114,0.0,3.0,3.0,646,2.0,468,576,2.0,2004.0,1114,2.0,13695,66.0,0.0,102,5,5,1114,2004,2004
2020,0.0,3.0,3.0,1436,2.0,570,900,0.0,2009.0,2020,0.0,12220,94.0,305.0,54,5,10,2006,2009,2009
1225,0.0,3.0,3.0,569,0.0,381,0,2.0,1982.5,1225,3.0,9320,77.0,0.0,0,5,4,950,1959,1959
684,684.0,3.0,3.0,0,5.0,684,216,2.0,1930.0,1368,3.0,3600,60.0,0.0,158,7,6,684,1910,1993
999,0.0,3.0,0.0,784,1.0,141,300,2.0,1962.0,999,3.0,10205,69.0,0.0,72,5,5,925,1962,1962
1518,0.0,1.0,1.0,1218,2.0,300,588,1.0,2003.0,1518,0.0,12677,62.0,472.0,140,5,8,1518,2003,2004
1844,0.0,2.0,3.0,976,2.0,868,620,0.0,2005.0,1844,2.0,10994,88.0,366.0,44,5,8,1844,2005,2006
966,686.0,4.0,3.0,686,3.0,0,416,2.0,1961.0,1652,3.0,10800,60.0,0.0,0,6,5,686,1915,1950
1349,0.0,3.0,3.0,0,5.0,1349,539,2.0,2000.0,1349,3.0,8450,65.0,108.0,55,5,7,1349,2000,2001
